mode,label,roc_auc
text,ADD,0.9557031430719407
text,SXL,0.9433934945114149
text,PH,0.9116195011054969
text,HH,0.9419974837066095
image,ADD,0.8930094118667593
image,SXL,0.7527925561766227
image,PH,0.7353027814165609
image,HH,0.7097783786318241
multimodal,ADD,0.9536028221142724
multimodal,SXL,0.9365030192830045
multimodal,PH,0.9115938563477705
multimodal,HH,0.9392909053967461
